291,390,752,324,50.00,18.00
301,399,748,325,49.00,18.00
298,393,742,324,50.00,18.00
295,389,737,324,50.00,18.00
301,395,734,325,49.00,18.00
297,390,732,326,50.00,18.00
293,386,728,325,49.00,19.00
285,380,719,325,50.00,18.00
290,383,717,326,49.00,18.00
284,377,708,327,50.00,18.00
283,379,701,327,49.00,19.00
287,385,697,327,50.00,18.00
285,381,693,328,48.00,19.00
283,376,683,326,50.00,18.00
286,383,684,327,48.00,19.00
279,376,675,326,49.00,19.00
279,373,665,327,49.00,19.00
289,384,665,326,48.00,19.00
280,379,661,328,50.00,18.00
281,376,654,327,50.00,18.00
285,383,656,327,48.00,19.00
274,374,649,327,50.00,18.00
282,375,648,327,48.00,19.00
276,370,644,330,49.00,19.00
270,369,635,328,50.00,18.00
280,376,637,329,49.00,19.00
273,365,637,330,49.00,18.00
265,362,628,328,48.00,19.00
274,371,626,331,50.00,18.00
268,366,619,329,48.00,19.00
265,363,611,330,49.00,19.00
279,370,613,330,49.00,19.00
268,365,611,330,49.00,19.00
262,360,604,331,49.00,19.00
273,366,604,330,48.00,19.00
265,357,603,329,49.00,19.00
264,360,599,329,49.00,19.00
268,362,600,329,49.00,19.00
260,358,596,329,49.00,19.00
260,362,588,331,48.00,19.00
269,365,590,331,48.00,19.00
266,359,587,330,49.00,19.00
263,358,578,330,48.00,19.00
263,358,581,332,48.00,19.00
257,354,578,330,49.00,19.00
264,358,576,331,48.00,19.00
261,356,579,332,48.00,19.00
259,353,570,332,48.00,19.00
266,355,573,333,48.00,19.00
257,351,567,333,49.00,19.00
261,354,562,332,49.00,19.00
261,356,564,331,48.00,19.00
256,351,559,331,48.00,19.00
259,357,560,332,48.00,19.00
254,349,559,334,48.00,19.00
253,346,552,333,48.00,19.00
256,350,553,335,48.00,19.00
253,344,553,333,49.00,19.00
251,345,549,333,49.00,19.00
257,349,553,333,48.00,19.00
251,343,547,334,48.00,19.00
252,349,541,332,48.00,19.00
259,351,543,335,48.00,19.00
